"Filter","M","EbN0","BER","QAM_label"
"NGF",256,29,0.1244970703125,"256-QAM"
"NGF",256,30,0.12443115234375,"256-QAM"
"RRC",256,0,0.12411865234375,"256-QAM"
"RRC",256,1,0.12416259765625,"256-QAM"
"RRC",256,2,0.1240869140625,"256-QAM"
"RRC",256,3,0.1240576171875,"256-QAM"
"RRC",256,4,0.1240673828125,"256-QAM"
"RRC",256,5,0.124072265625,"256-QAM"
"RRC",256,6,0.124091796875,"256-QAM"
"RRC",256,7,0.12414306640625,"256-QAM"
"RRC",256,8,0.1240771484375,"256-QAM"
"RRC",256,9,0.1241357421875,"256-QAM"
"RRC",256,10,0.12411865234375,"256-QAM"
"RRC",256,11,0.1241162109375,"256-QAM"
"RRC",256,12,0.12407470703125,"256-QAM"
"RRC",256,13,0.12404052734375,"256-QAM"
"RRC",256,14,0.1241259765625,"256-QAM"
"RRC",256,15,0.12399169921875,"256-QAM"
"RRC",256,16,0.124189453125,"256-QAM"
"RRC",256,17,0.124130859375,"256-QAM"
"RRC",256,18,0.12409912109375,"256-QAM"
"RRC",256,19,0.1241064453125,"256-QAM"
"RRC",256,20,0.12414306640625,"256-QAM"
"RRC",256,21,0.12404541015625,"256-QAM"
"RRC",256,22,0.12407958984375,"256-QAM"
"RRC",256,23,0.12406005859375,"256-QAM"
"RRC",256,24,0.12403564453125,"256-QAM"
"RRC",256,25,0.1241259765625,"256-QAM"
"RRC",256,26,0.12413330078125,"256-QAM"
"RRC",256,27,0.12406494140625,"256-QAM"
"RRC",256,28,0.12409912109375,"256-QAM"
"RRC",256,29,0.12411865234375,"256-QAM"
"RRC",256,30,0.12407958984375,"256-QAM"
"TASM",256,0,0.124482421875,"256-QAM"
"TASM",256,1,0.1244873046875,"256-QAM"
"TASM",256,2,0.12450927734375,"256-QAM"
"TASM",256,3,0.12452392578125,"256-QAM"
"TASM",256,4,0.12445556640625,"256-QAM"
"TASM",256,5,0.12450927734375,"256-QAM"
"TASM",256,6,0.124501953125,"256-QAM"
"TASM",256,7,0.1245068359375,"256-QAM"
"TASM",256,8,0.12448974609375,"256-QAM"
"TASM",256,9,0.1244873046875,"256-QAM"
"TASM",256,10,0.12448486328125,"256-QAM"
"TASM",256,11,0.12452392578125,"256-QAM"
"TASM",256,12,0.124521484375,"256-QAM"
"TASM",256,13,0.1245458984375,"256-QAM"
"TASM",256,14,0.12447998046875,"256-QAM"
"TASM",256,15,0.12443603515625,"256-QAM"
"TASM",256,16,0.12455078125,"256-QAM"
"TASM",256,17,0.12447021484375,"256-QAM"
"TASM",256,18,0.12451904296875,"256-QAM"
"TASM",256,19,0.12448486328125,"256-QAM"
"TASM",256,20,0.12451416015625,"256-QAM"
"TASM",256,21,0.12447998046875,"256-QAM"
"TASM",256,22,0.12440673828125,"256-QAM"
"TASM",256,23,0.12451171875,"256-QAM"
"TASM",256,24,0.1245166015625,"256-QAM"
"TASM",256,25,0.12450439453125,"256-QAM"
"TASM",256,26,0.12449462890625,"256-QAM"
"TASM",256,27,0.1244970703125,"256-QAM"
"TASM",256,28,0.12451171875,"256-QAM"
"TASM",256,29,0.12449462890625,"256-QAM"
"TASM",256,30,0.1244384765625,"256-QAM"
"Sinc2",256,0,0.12448486328125,"256-QAM"
"Sinc2",256,1,0.1244873046875,"256-QAM"
"Sinc2",256,2,0.12451171875,"256-QAM"
"Sinc2",256,3,0.12452392578125,"256-QAM"
"Sinc2",256,4,0.12446044921875,"256-QAM"
"Sinc2",256,5,0.1245068359375,"256-QAM"
"Sinc2",256,6,0.12449951171875,"256-QAM"
"Sinc2",256,7,0.124501953125,"256-QAM"
"Sinc2",256,8,0.1244921875,"256-QAM"
"Sinc2",256,9,0.12448974609375,"256-QAM"
