"Filter","freq","psd_lin","psd_dB"
"NGF",0.083251953125,3.38498056418365e-08,-48.7649228976399
"NGF",0.08349609375,3.02534086312644e-08,-49.252741557553
"NGF",0.083740234375,2.6561913850302e-08,-49.8178910537471
"NGF",0.083984375,2.29117957657537e-08,-50.4598933979614
"NGF",0.084228515625,1.94419979597112e-08,-51.1730757595019
"NGF",0.08447265625,1.62856320953403e-08,-51.9424384963947
"NGF",0.084716796875,1.35618023240191e-08,-52.7373105933064
"NGF",0.0849609375,1.13687572791274e-08,-53.503354746932
"NGF",0.085205078125,9.77920214601854e-09,-54.1574504564033
"NGF",0.08544921875,8.83809014349958e-09,-54.596900423627
"NGF",0.085693359375,8.56271180206432e-09,-54.7343714208942
"NGF",0.0859375,8.9445366436179e-09,-54.5449062156338
"NGF",0.086181640625,9.95209812731897e-09,-54.0813381967324
"NGF",0.08642578125,1.15342440414827e-08,-53.4405933319585
"NGF",0.086669921875,1.36232451425863e-08,-52.7176789759425
"NGF",0.0869140625,1.6137487809262e-08,-51.9821254197296
"NGF",0.087158203125,1.89837026110204e-08,-51.2766754734135
"NGF",0.08740234375,2.20588566585995e-08,-50.6246547057165
"NGF",0.087646484375,2.52519489442232e-08,-50.0375356659283
"NGF",0.087890625,2.84459996642204e-08,-49.5202726859246
"NGF",0.088134765625,3.15205269907269e-08,-49.0745499933422
"NGF",0.08837890625,3.43547621979737e-08,-48.7006152244697
"NGF",0.088623046875,3.68317622109464e-08,-48.3982597105272
"NGF",0.0888671875,3.88434313681049e-08,-48.1673088134125
"NGF",0.089111328125,4.02962649674703e-08,-48.0078367561288
"NGF",0.08935546875,4.11173990404778e-08,-47.9202283443854
"NGF",0.089599609375,4.12603385430482e-08,-47.9051568210989
"NGF",0.08984375,4.07095980062412e-08,-47.9635165528179
"NGF",0.090087890625,3.94834794831895e-08,-48.0963305126616
"NGF",0.09033203125,3.763436404535e-08,-48.3046388755024
"NGF",0.090576171875,3.52461984264082e-08,-48.5893618731543
"NGF",0.0908203125,3.24292681659857e-08,-48.9511132114504
"NGF",0.091064453125,2.93127794116265e-08,-49.3899146936192
"NGF",0.09130859375,2.60361267005623e-08,-49.9047209287038
"NGF",0.091552734375,2.27399195701169e-08,-50.492595448906
"NGF",0.091796875,1.95578290743871e-08,-51.1472782287546
"NGF",0.092041015625,1.66100987771444e-08,-51.8567625404164
"NGF",0.09228515625,1.39991962193627e-08,-52.5994536831298
"NGF",0.092529296875,1.18076489533823e-08,-53.3388503626444
"NGF",0.0927734375,1.00977150677288e-08,-54.0182535734062
"NGF",0.093017578125,8.91226876218602e-09,-54.5606019437145
"NGF",0.09326171875,8.27618852697038e-09,-54.8821809407554
"NGF",0.093505859375,8.19762391400582e-09,-54.9236047904986
"NGF",0.09375,8.66874726458676e-09,-54.6809212779235
"NGF",0.093994140625,9.6658982904402e-09,-54.208062482119
"NGF",0.09423828125,1.1149320225457e-08,-53.5880007993085
"NGF",0.094482421875,1.30628946186939e-08,-52.9000904585644
"NGF",0.0947265625,1.53343627352058e-08,-52.2038273686669
"NGF",0.094970703125,1.78764651466942e-08,-51.5376682266482
"NGF",0.09521484375,2.05892617927482e-08,-50.9240769346282
"NGF",0.095458984375,2.33636620756321e-08,-50.3750755304889
"NGF",0.095703125,2.60859589578775e-08,-49.8964166251851
"NGF",0.095947265625,2.86429787410484e-08,-49.4903028851005
"NGF",0.09619140625,3.09273678533167e-08,-49.1570550925023
"NGF",0.096435546875,3.28425523983712e-08,-48.8961156769278
"NGF",0.0966796875,3.43070106495101e-08,-48.7066559182892
"NGF",0.096923828125,3.52576556555695e-08,-48.5879503726026
"NGF",0.09716796875,3.5652285120334e-08,-48.539610981407
"NGF",0.097412109375,3.54711710883342e-08,-48.5617294213434
"NGF",0.09765625,3.47179010270832e-08,-48.6549500842195
"NGF",0.097900390625,3.34195391652919e-08,-48.8204801222137
"NGF",0.09814453125,3.16260762685677e-08,-49.0600315523622
